tier,model,input_type,names_normalized,pooling,dataset,accuracy,f1_macro,precision_macro,recall_macro,f1_class0,f1_class1,precision_class0,precision_class1,recall_class0,recall_class1,tp,tn,fp,fn
tier2,tfidf_logreg,text_only,True,NA,gold,0.6071428571428571,0.6066411238825031,0.6128205128205129,0.6145833333333333,0.5925925925925926,0.6206896551724138,0.5333333333333333,0.6923076923076923,0.6666666666666666,0.5625,9,8,4,7
tier2,tfidf_logreg,text_only,False,NA,orange_test,0.6865671641791045,0.6862876254180602,0.6866071428571429,0.6862745098039216,0.6956521739130435,0.676923076923077,0.6857142857142857,0.6875,0.7058823529411765,0.6666666666666666,22,24,10,11
tier2,tfidf_logreg,text_only,True,NA,orange_test,0.5373134328358209,0.5306214689265537,0.5375234521575984,0.535650623885918,0.5866666666666667,0.4745762711864407,0.5365853658536586,0.5384615384615384,0.6470588235294118,0.42424242424242425,14,22,12,19
tier2,tfidf_svm,context_only,False,NA,gold,0.5357142857142857,0.5351213282247764,0.5410256410256411,0.5416666666666667,0.5185185185185185,0.5517241379310345,0.4666666666666667,0.6153846153846154,0.5833333333333334,0.5,8,7,5,8
tier2,tfidf_svm,context_only,True,NA,gold,0.6071428571428571,0.6025806451612903,0.6025641025641025,0.6041666666666667,0.56,0.6451612903225806,0.5384615384615384,0.6666666666666666,0.5833333333333334,0.625,10,7,5,6
tier2,tfidf_svm,context_only,False,NA,orange_test,0.6716417910447762,0.6709821428571429,0.6720430107526881,0.6711229946524064,0.6857142857142857,0.65625,0.6666666666666666,0.6774193548387096,0.7058823529411765,0.6363636363636364,21,24,10,12
tier2,tfidf_svm,context_only,True,NA,orange_test,0.5522388059701493,0.5513392857142857,0.5519713261648745,0.5516934046345812,0.5714285714285714,0.53125,0.5555555555555556,0.5483870967741935,0.5882352941176471,0.5151515151515151,17,20,14,16
tier2,tfidf_svm,context_text,False,NA,gold,0.6071428571428571,0.6066411238825031,0.6128205128205129,0.6145833333333333,0.5925925925925926,0.6206896551724138,0.5333333333333333,0.6923076923076923,0.6666666666666666,0.5625,9,8,4,7
tier2,tfidf_svm,context_text,True,NA,gold,0.5,0.48958333333333337,0.48958333333333337,0.48958333333333337,0.4166666666666667,0.5625,0.4166666666666667,0.5625,0.4166666666666667,0.5625,9,5,7,7
tier2,tfidf_svm,context_text,False,NA,orange_test,0.6865671641791045,0.6840332360206602,0.6904761904761905,0.6853832442067735,0.7123287671232876,0.6557377049180327,0.6666666666666666,0.7142857142857143,0.7647058823529411,0.6060606060606061,20,26,8,13
tier2,tfidf_svm,context_text,True,NA,orange_test,0.6567164179104478,0.6517514124293786,0.6632270168855534,0.6550802139037433,0.6933333333333334,0.6101694915254238,0.6341463414634146,0.6923076923076923,0.7647058823529411,0.5454545454545454,18,26,8,15
tier2,tfidf_svm,text_only,False,NA,gold,0.7142857142857143,0.7128205128205127,0.7142857142857143,0.71875,0.6923076923076923,0.7333333333333333,0.6428571428571429,0.7857142857142857,0.75,0.6875,11,9,3,5
tier2,tfidf_svm,text_only,True,NA,gold,0.6071428571428571,0.6066411238825031,0.6128205128205129,0.6145833333333333,0.5925925925925926,0.6206896551724138,0.5333333333333333,0.6923076923076923,0.6666666666666666,0.5625,9,8,4,7
tier2,tfidf_svm,text_only,False,NA,orange_test,0.6417910447761194,0.6397849462365591,0.6433756805807622,0.6408199643493762,0.6666666666666666,0.6129032258064516,0.631578947368421,0.6551724137931034,0.7058823529411765,0.5757575757575758,19,24,10,14
tier2,tfidf_svm,text_only,True,NA,orange_test,0.5522388059701493,0.544010889292196,0.5538095238095239,0.5503565062388592,0.6052631578947368,0.4827586206896552,0.5476190476190477,0.56,0.6764705882352942,0.42424242424242425,14,23,11,19
tier3,xlmr_logreg,context_only,False,cls,gold,0.6071428571428571,0.6025806451612903,0.6025641025641025,0.6041666666666667,0.56,0.6451612903225806,0.5384615384615384,0.6666666666666666,0.5833333333333334,0.625,10,7,5,6
tier3,xlmr_logreg,context_only,False,mean,gold,0.5357142857142857,0.5303225806451612,0.5701754385964912,0.5625,0.5806451612903226,0.48,0.47368421052631576,0.6666666666666666,0.75,0.375,6,9,3,10
tier3,xlmr_logreg,context_only,True,cls,gold,0.7142857142857143,0.7128205128205127,0.7142857142857143,0.71875,0.6923076923076923,0.7333333333333333,0.6428571428571429,0.7857142857142857,0.75,0.6875,11,9,3,5
tier3,xlmr_logreg,context_only,True,mean,gold,0.6428571428571429,0.641025641025641,0.6428571428571428,0.6458333333333333,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6666666666666666,0.625,10,8,4,6
